일시,환자수
2010-01-01,142
2010-02-01,430
2010-03-01,364
2010-04-01,893
2010-05-01,201
2010-06-01,1908
2010-07-01,561
2010-08-01,770
2010-09-01,783
2010-10-01,335
2010-11-01,362
2010-12-01,469
2011-01-01,137
2011-02-01,351
2011-03-01,690
2011-04-01,827
2011-05-01,1017
2011-06-01,414
2011-07-01,740
2011-08-01,1482
2011-09-01,809
2011-10-01,194
2011-11-01,267
2011-12-01,177
2012-01-01,294
2012-02-01,392
2012-03-01,296
2012-04-01,387
2012-05-01,680
2012-06-01,503
2012-07-01,300
2012-08-01,590
2012-09-01,1403
2012-10-01,189
2012-11-01,346
2012-12-01,678
2013-01-01,286
2013-02-01,50
2013-03-01,327
2013-04-01,896
2013-05-01,252
2013-06-01,677
2013-07-01,611
2013-08-01,405
2013-09-01,450
2013-10-01,141
2013-11-01,492
2013-12-01,371
2014-01-01,56
2014-02-01,80
2014-03-01,1063
2014-04-01,371
2014-05-01,1548
2014-06-01,955
2014-07-01,484
2014-08-01,1429
2014-09-01,261
2014-10-01,257
2014-11-01,342
2014-12-01,620
2015-01-01,322
2015-02-01,149
2015-03-01,412
2015-04-01,402
2015-05-01,493
2015-06-01,752
2015-07-01,527
2015-08-01,1729
2015-09-01,400
2015-10-01,299
2015-11-01,221
2015-12-01,275
2016-01-01,98
2016-02-01,51
2016-03-01,358
2016-04-01,554
2016-05-01,673
2016-06-01,761
2016-07-01,280
2016-08-01,2388
2016-09-01,425
2016-10-01,731
2016-11-01,446
2016-12-01,397
2017-01-01,121
2017-02-01,89
2017-03-01,146
2017-04-01,409
2017-05-01,605
2017-06-01,916
2017-07-01,429
2017-08-01,1555
2017-09-01,745
2017-10-01,332
2017-11-01,179
2017-12-01,123
2018-01-01,125
2018-02-01,194
2018-03-01,816
2018-04-01,444
2018-05-01,853
2018-06-01,732
2018-07-01,630
2018-08-01,1536
2018-09-01,5239
2018-10-01,608
2018-11-01,185
2018-12-01,142
2019-01-01,216
2019-02-01,109
2019-03-01,504
2019-04-01,543
2019-05-01,438
2019-06-01,532
2019-07-01,550
2019-08-01,333
2019-09-01,136
2019-10-01,227
2019-11-01,236
2019-12-01,251
2020-01-01,217
2020-02-01,75
2020-03-01,117
2020-04-01,112
2020-05-01,19
2020-06-01,488
2020-07-01,688
2020-08-01,160
2020-09-01,157
2020-10-01,171
2020-11-01,252
2020-12-01,78
2021-01-01,292
2021-02-01,298
2021-03-01,401
2021-04-01,417
2021-05-01,194
2021-06-01,343
2021-07-01,1293
2021-08-01,878
2021-09-01,335
2021-10-01,222
2021-11-01,142
2021-12-01,345
2022-01-01,136
2022-02-01,123
2022-03-01,422
2022-04-01,148
2022-05-01,503
2022-06-01,1028
2022-07-01,650
2022-08-01,538
2022-09-01,581
2022-10-01,437
2022-11-01,308
2022-12-01,536
